fold,model,inner_mean_mse,outer_c_index,outer_mse,outer_rmse,outer_mae,outer_r2,outer_pearson,n_train_outer,n_test_outer,best_params_json
1,xgb,12.291232653478803,0.6731792717086835,9.316531475252015,3.0522993751026477,2.247869967635132,0.21626880235655532,0.589760627669589,1073,120,"{""xgb_max_depth"": 11, ""xgb_n_estimators"": 490, ""xgb_learning_rate"": 0.0544685721802976, ""xgb_subsample"": 0.6019741103385163, ""xgb_colsample_bytree"": 0.6055414860919348, ""xgb_reg_lambda"": 20.611116582514047, ""xgb_reg_alpha"": 0.513654774360121}"
1,gbrt,13.054607143162599,0.667156862745098,9.98503420240174,3.15991047379538,2.3214845351465425,0.16003258994545622,0.5745509233939385,1073,120,"{""gbrt_max_depth"": 9, ""gbrt_min_samples_leaf"": 16, ""gbrt_n_estimators"": 610, ""gbrt_learning_rate"": 0.028989673498960894, ""gbrt_subsample"": 0.7339901815053484}"
1,extratrees,12.32961100227923,0.6391456582633053,10.39576310273416,3.2242461293663918,2.4427527881145408,0.12548099165811233,0.5608734024131801,1073,120,"{""extratrees_max_depth"": 15, ""extratrees_min_samples_split"": 2, ""extratrees_min_samples_leaf"": 1, ""extratrees_n_estimators"": 516, ""extratrees_max_features"": ""log2""}"
1,svr,12.997971640704957,0.6101540616246499,11.024269062710271,3.3202814734161126,2.416019615742491,0.07260941278279964,0.5339283944787357,1073,120,"{""svr_C"": 43.26696015026275, ""svr_epsilon"": 0.19065067384081358, ""svr_gamma"": 0.07979267676746392}"
1,gpr,12.38135981331532,0.6258403361344538,10.25583407687794,3.2024731188376805,2.373330595297857,0.13725219033979863,0.5666627975814986,1073,120,"{""gpr_alpha"": 0.0074537860631532825, ""gpr_length_scale"": 0.5075910253220913, ""gpr_constant"": 1.0440175673861354}"
1,knn,12.362558919789283,0.6335434173669467,11.064382540609131,3.3263166627080367,2.4733691704918432,0.0692349612330112,0.5500947436967752,1073,120,"{""knn_n_neighbors"": 75, ""knn_weights"": ""distance"", ""knn_p"": 1}"
1,rf,13.261524492168466,0.6538515406162465,9.608418954363385,3.099744982149884,2.6028744457547464,0.19171445783587704,0.5460441151250089,1073,120,"{""rf_max_depth"": 20, ""rf_min_samples_split"": 2, ""rf_min_samples_leaf"": 1, ""rf_n_estimators"": 524, ""rf_max_features"": ""log2""}"
2,xgb,12.062580192734643,0.6932773109243697,10.618268285920164,3.2585684411901132,2.2253265927729493,0.41033345294267476,0.6421366866175324,1073,120,"{""xgb_max_depth"": 12, ""xgb_n_estimators"": 545, ""xgb_learning_rate"": 0.035748663934834266, ""xgb_subsample"": 0.7638339908620551, ""xgb_colsample_bytree"": 0.7302222248860759, ""xgb_reg_lambda"": 22.641512469727132, ""xgb_reg_alpha"": 0.4616643145603473}"
2,gbrt,12.607354441702421,0.6710084033613445,12.016487050928431,3.4664804991415186,2.3210128108685315,0.3326858734134922,0.5815369555996776,1073,120,"{""gbrt_max_depth"": 8, ""gbrt_min_samples_leaf"": 16, ""gbrt_n_estimators"": 483, ""gbrt_learning_rate"": 0.03617667942653554, ""gbrt_subsample"": 0.9167555511878684}"
2,extratrees,12.228270441133706,0.6914565826330532,11.082699247654595,3.3290688259113232,2.3126735945071433,0.38454210974261716,0.6242930373212666,1073,120,"{""extratrees_max_depth"": 20, ""extratrees_min_samples_split"": 3, ""extratrees_min_samples_leaf"": 1, ""extratrees_n_estimators"": 550, ""extratrees_max_features"": ""log2""}"
2,svr,12.684685678522767,0.6746498599439776,11.433737921641141,3.3813810672033315,2.2231463075511226,0.3650478045320674,0.6062131471365725,1073,120,"{""svr_C"": 22.86533339241229, ""svr_epsilon"": 0.09264703688397742, ""svr_gamma"": 0.07989826298715375}"
2,gpr,12.38124601624378,0.6859943977591036,11.220541459509839,3.3497076677689113,2.2405966818629657,0.37688728892675916,0.613942152361615,1073,120,"{""gpr_alpha"": 0.009994907205315056, ""gpr_length_scale"": 1.3765917077863374, ""gpr_constant"": 1.9523780681336125}"
2,knn,12.360971824352632,0.67703081232493,11.176153087388677,3.343075393614191,2.2680777677537454,0.3793523178197369,0.6174475055067757,1073,120,"{""knn_n_neighbors"": 78, ""knn_weights"": ""distance"", ""knn_p"": 1}"
2,rf,12.953331486972953,0.677170868347339,11.916427377606073,3.4520178704065354,2.552742005209269,0.33824250849549675,0.6151994529078457,1073,120,"{""rf_max_depth"": 14, ""rf_min_samples_split"": 2, ""rf_min_samples_leaf"": 1, ""rf_n_estimators"": 681, ""rf_max_features"": ""sqrt""}"
3,xgb,12.51398390667114,0.6868609048886398,14.867803102151838,3.855879031057878,2.6217671549358967,0.44037390778999075,0.6855306337164404,1073,120,"{""xgb_max_depth"": 13, ""xgb_n_estimators"": 521, ""xgb_learning_rate"": 0.0166327202999842, ""xgb_subsample"": 0.9830387031977307, ""xgb_colsample_bytree"": 0.6758472277897409, ""xgb_reg_lambda"": 21.0410424402664, ""xgb_reg_alpha"": 0.03604155275811142}"
3,gbrt,13.180169651211685,0.6791567446421067,14.586787938610833,3.8192653663513396,2.52161860809891,0.45095135603461056,0.6803849473518782,1073,120,"{""gbrt_max_depth"": 7, ""gbrt_min_samples_leaf"": 15, ""gbrt_n_estimators"": 602, ""gbrt_learning_rate"": 0.03486505130034456, ""gbrt_subsample"": 0.8549232791495368}"
