model,mean_outer_c_index,std_outer_c_index,mean_outer_mse,std_outer_mse,mean_outer_rmse,std_outer_rmse,mean_outer_mae,std_outer_mae,mean_outer_r2,std_outer_r2,mean_outer_pearson,std_outer_pearson,best_fold,best_fold_outer_mse,best_params_json
xgb,0.6765141150258426,0.01305719276626718,11.831405426496538,3.2221740714549734,3.4114839965715738,0.4395251615466184,2.4281339398164454,0.255207419301596,0.3446838608543948,0.09940924353836578,0.6052051617386879,0.0747470653174358,5,8.394219057274038,"{""xgb_max_depth"": 13, ""xgb_n_estimators"": 608, ""xgb_learning_rate"": 0.023243745492166897, ""xgb_subsample"": 0.8108717932418208, ""xgb_colsample_bytree"": 0.5569228185516418, ""xgb_reg_lambda"": 21.085316209277725, ""xgb_reg_alpha"": 0.13007798428184578}"
gbrt,0.6722877989068018,0.011530666236537044,12.358274143254441,3.1537089867348103,3.4903476547221075,0.41922236632880794,2.496248486069283,0.26162964080105583,0.31313601611821634,0.10215341530801436,0.5821645200178878,0.07343977776481413,5,9.288339855064258,"{""gbrt_max_depth"": 10, ""gbrt_min_samples_leaf"": 18, ""gbrt_n_estimators"": 514, ""gbrt_learning_rate"": 0.02994303615188828, ""gbrt_subsample"": 0.7629754742128202}"
extratrees,0.6672836327192029,0.022490244709586056,11.790063702374955,3.069538121822689,3.4078232200510343,0.4204813946608782,2.495245098988379,0.2294383380360698,0.34295645715692047,0.1148031295187891,0.604059451849219,0.07725772645107394,5,8.163010392453183,"{""extratrees_max_depth"": 24, ""extratrees_min_samples_split"": 3, ""extratrees_min_samples_leaf"": 1, ""extratrees_n_estimators"": 447, ""extratrees_max_features"": ""log2""}"
svr,0.658552116833783,0.025992820156885692,12.553484069663487,3.667279818924916,3.508881119411682,0.4911591997506561,2.4697544746117615,0.2922134777014876,0.30442443696291394,0.12690078040399974,0.5769881416679494,0.0811437274702288,5,7.68108414990996,"{""svr_C"": 18.215510235522277, ""svr_epsilon"": 0.05360649311233415, ""svr_gamma"": 0.07940161958803871}"
gpr,0.6631654192099454,0.027080054337544693,11.867727089769083,3.194757628615274,3.4170025727126516,0.43797318164951565,2.439539489403872,0.2423304203593049,0.33997346064260037,0.11416439895701537,0.5987092483407439,0.07636555614992978,5,7.909136144213489,"{""gpr_alpha"": 0.009999413057079992, ""gpr_length_scale"": 1.9210399020011149, ""gpr_constant"": 2.0034914390461642}"
knn,0.6648042841381158,0.01952790619609756,11.870717770784829,3.1010752439003406,3.418985634921822,0.42574053011553503,2.4651010041824426,0.2388504108870699,0.3369382168908676,0.12720503445808087,0.6024194015744904,0.0765598181853906,5,7.901109519489017,"{""knn_n_neighbors"": 80, ""knn_weights"": ""distance"", ""knn_p"": 1}"
rf,0.6651605452824079,0.018053746554548653,12.562819556182543,3.413465365020612,3.5155888864597102,0.45105912869990583,2.7643301357616026,0.2887152918756445,0.30716909052747615,0.08368794427365953,0.5875066594221667,0.07739716777107655,1,9.608418954363385,"{""rf_max_depth"": 20, ""rf_min_samples_split"": 2, ""rf_min_samples_leaf"": 1, ""rf_n_estimators"": 524, ""rf_max_features"": ""log2""}"
ensemble,0.6736037660481811,0.0,11.624828824876614,0.0,3.409520321816049,0.0,2.430180168739416,0.0,0.3820579042488125,0.0,0.6188771710328383,0.0,-1,11.624828824876614,"{""weights"": [0.4823654568214936, 0.10305699963137856, 0.37994994276824484, 0.034627600778883015], ""models"": [""xgb"", ""extratrees"", ""gpr"", ""knn""]}"
