Net,PSNR,Params,Generation
"[4, 6, 1, 0, 2, 7, 3, 3, 1, 4, 5, 5, 5, 7, 1, 4, 1, 0, 5, 7, 3, 0, 4, 3, 0, 4, 7, 4]",30.739892,70816.0,1
"[0, 6, 2, 7, 1, 3, 7, 7, 2, 2, 2, 7, 1, 7, 1, 4, 1, 4, 0, 7, 4, 0, 0, 0, 7, 1, 0, 5]",31.395948,105200.0,1
"[0, 2, 7, 0, 2, 5, 3, 0, 2, 5, 6, 5, 4, 2, 7, 4, 0, 5, 1, 7, 6, 7, 4, 1, 1, 4, 7, 2]",30.666378,60544.0,1
"[0, 4, 1, 3, 4, 6, 7, 5, 0, 7, 2, 4, 2, 6, 5, 4, 2, 5, 6, 3, 0, 5, 4, 4, 0, 6, 0, 7]",30.100634,23328.0,1
"[4, 6, 1, 0, 2, 7, 3, 3, 1, 4, 5, 5, 5, 7, 1, 1, 3, 4, 2, 7, 3, 0, 4, 3, 0, 4, 7, 4]",30.424749,71088.0,1
"[1, 0, 2, 1, 5, 5, 4, 1, 5, 6, 4, 6, 3, 1, 0, 2, 0, 6, 3, 1, 4, 2, 5, 6, 5, 0, 6, 4]",30.233761,356736.0,1
"[3, 2, 1, 4, 7, 4, 2, 6, 3, 0, 2, 2, 2, 6, 4, 5, 6, 0, 0, 1, 3, 7, 4, 3, 2, 1, 3, 7]",31.438768,2194592.0,1
"[0, 6, 1, 0, 6, 6, 4, 1, 6, 0, 5, 0, 7, 0, 7, 4, 3, 2, 6, 7, 2, 7, 6, 7, 4, 7, 1, 6]",30.579253,66336.0,1
"[0, 0, 1, 2, 5, 4, 3, 0, 1, 0, 4, 4, 6, 3, 6, 4, 2, 0, 3, 6, 1, 4, 3, 0, 4, 7, 5, 3]",30.117704,27104.0,1
"[1, 4, 5, 5, 2, 4, 4, 4, 1, 2, 2, 5, 6, 3, 4, 5, 7, 4, 3, 3, 1, 0, 7, 3, 4, 2, 4, 0]",30.64687,52544.0,1
"[0, 4, 4, 2, 6, 0, 7, 4, 3, 3, 7, 3, 2, 1, 4, 1, 0, 3, 5, 6, 6, 6, 4, 1, 3, 4, 4, 1]",30.604614,55808.0,1
"[4, 3, 5, 2, 6, 0, 0, 4, 0, 1, 2, 0, 4, 3, 5, 0, 6, 6, 7, 1, 6, 0, 6, 3, 1, 0, 1, 6]",31.441915,76864.0,1
"[0, 6, 4, 2, 5, 6, 3, 2, 6, 6, 0, 2, 6, 3, 0, 7, 4, 1, 1, 7, 7, 6, 1, 3, 7, 1, 3, 6]",30.665395,188224.0,1
"[3, 0, 3, 5, 4, 0, 3, 7, 0, 3, 1, 2, 3, 6, 3, 0, 4, 3, 0, 6, 0, 5, 1, 2, 3, 6, 5, 7]",31.310254,1611360.0,1
"[2, 6, 1, 7, 3, 1, 7, 0, 2, 0, 1, 2, 0, 3, 0, 4, 4, 3, 6, 2, 3, 1, 7, 1, 2, 3, 2, 3]",31.788056,761280.0,1
"[2, 4, 1, 6, 7, 1, 3, 7, 2, 4, 5, 0, 7, 0, 2, 4, 1, 3, 0, 6, 3, 2, 3, 0, 2, 4, 6, 3]",31.563075,584208.0,1
"[0, 4, 1, 3, 1, 3, 5, 4, 2, 5, 3, 6, 0, 2, 5, 4, 2, 5, 6, 2, 0, 5, 4, 4, 0, 6, 0, 7]",29.655346,48128.0,1
"[4, 3, 1, 0, 5, 4, 4, 7, 5, 0, 0, 2, 0, 5, 3, 0, 4, 7, 0, 6, 3, 4, 4, 0, 1, 1, 6, 0]",30.828844,60048.0,1
"[0, 4, 1, 3, 1, 0, 5, 0, 6, 7, 4, 2, 1, 5, 1, 7, 2, 5, 6, 2, 0, 5, 4, 4, 0, 6, 0, 7]",30.695339,62432.0,1
"[0, 5, 6, 5, 6, 2, 0, 3, 7, 4, 2, 2, 6, 4, 4, 1, 7, 2, 6, 4, 1, 3, 2, 0, 6, 1, 7, 2]",29.808373,109712.0,1
"[0, 6, 4, 3, 1, 6, 6, 1, 0, 0, 2, 7, 6, 6, 3, 0, 4, 0, 2, 4, 7, 2, 2, 5, 5, 0, 7, 0]",30.954354,94448.0,1
"[1, 7, 2, 4, 4, 7, 6, 3, 0, 3, 1, 6, 7, 5, 3, 0, 5, 0, 7, 6, 2, 7, 0, 3, 3, 0, 0, 6]",30.507673,548672.0,1
"[1, 1, 4, 0, 3, 7, 2, 2, 4, 0, 2, 6, 0, 4, 6, 4, 1, 0, 5, 4, 3, 5, 7, 2, 7, 5, 0, 5]",30.541441,200768.0,1
"[5, 5, 7, 4, 0, 7, 3, 7, 6, 7, 4, 2, 0, 5, 2, 6, 7, 1, 4, 7, 7, 2, 2, 4, 1, 1, 3, 2]",30.661309,630624.0,1
"[2, 4, 1, 6, 7, 1, 3, 7, 7, 0, 2, 3, 6, 7, 5, 3, 1, 0, 0, 6, 3, 2, 3, 0, 2, 4, 6, 4]",31.174983,705792.0,1
"[4, 2, 1, 3, 1, 2, 0, 2, 1, 3, 3, 4, 6, 5, 4, 0, 3, 3, 6, 6, 6, 1, 7, 6, 3, 6, 4, 5]",29.305673,80256.0,1
"[0, 4, 5, 3, 4, 3, 6, 2, 6, 1, 1, 5, 1, 0, 0, 6, 0, 2, 6, 5, 1, 6, 3, 2, 1, 5, 1, 2]",29.443617,90512.0,1
"[4, 2, 1, 7, 0, 6, 3, 3, 5, 4, 7, 1, 7, 6, 2, 5, 1, 7, 4, 3, 0, 0, 5, 3, 1, 1, 5, 1]",30.390417,124336.0,1
"[4, 1, 6, 6, 7, 5, 3, 0, 2, 7, 2, 6, 7, 7, 4, 7, 6, 0, 7, 0, 4, 3, 5, 1, 3, 4, 5, 6]",31.121775,98272.0,1
"[0, 4, 3, 7, 4, 3, 2, 5, 6, 7, 4, 3, 1, 6, 6, 3, 6, 0, 4, 7, 5, 3, 4, 0, 1, 2, 0, 7]",30.497226,96320.0,1
"[0, 6, 1, 0, 6, 7, 1, 5, 2, 3, 3, 2, 6, 7, 3, 0, 2, 4, 7, 4, 5, 3, 7, 5, 4, 7, 1, 6]",30.602905,108544.0,1
"[2, 0, 4, 7, 3, 4, 2, 6, 1, 3, 7, 0, 1, 3, 7, 3, 0, 5, 0, 4, 2, 5, 4, 2, 2, 4, 6, 2]",30.841874,607584.0,1
