method,n_points,n_nd,igd_plus,hv_2d,min_f1,max_f1,min_f2,max_f2,cov_f1,cov_f2,r2,epsilon,coverage_c,hausdorff,hv_2d_norm
baseline_pq20,20,20,0.0,0.003854010026784537,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.0069469183063981185,0.0,0.0,0.0,1.0
Hv,15,15,7.6088676787475125e-06,0.0038536713924516544,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.0069469183063981185,4.8696753143984226e-05,0.0,0.005735345607713821,0.9999121345480346
R2,15,15,1.5522090064644936e-05,0.0038491218981734476,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.0069469183063981185,0.00010348060043096626,0.0,0.02318564035181947,0.9987316772460066
Crowding,15,15,1.6435154186094645e-05,0.003851787895667576,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.0069469183063981185,0.00010348060043096626,0.0,0.011049423150558752,0.9994234236285018
PQ,15,15,1.6435154186094645e-05,0.003851787895667576,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.0069469183063981185,0.00010348060043096626,0.0,0.011049423150558752,0.9994234236285018
Grid,15,15,5.782739435848113e-05,0.0038233057588611514,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.0069469183063981185,0.0010682850220961517,0.0,0.005735345607713821,0.992033163455726
Entropy,15,15,6.58927940979535e-05,0.0038481900556377453,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.006948871856300514,0.0011169817752401357,0.0,0.0053889595531691386,0.9984898920588312
Eps1,15,15,0.00014180181274503004,0.003828090556419431,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.007029459567111217,0.002607770224538175,0.0,0.006504867935833131,0.9932746749009548
Tight1,15,15,0.00014180181274503004,0.003828090556419431,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.007029459567111217,0.002607770224538175,0.0,0.006504867935833131,0.9932746749009548
K-means,15,15,0.0006272168929402156,0.0037391156322361375,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.00715059986437414,0.005959265165995057,0.0,0.006504867935833131,0.9701883508994765
