method,n_points,n_nd,igd_plus,hv_2d,min_f1,max_f1,min_f2,max_f2,cov_f1,cov_f2,r2,epsilon,coverage_c,hausdorff,hv_2d_norm
baseline_pq20,20,20,0.0,0.003854010026784537,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.0069469183063981185,0.0,0.0,0.0,1.0
Hv,10,10,2.7848455704215887e-05,0.003851194513546835,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.006947812735742981,0.00010043705335946733,0.0,0.011421963348953809,0.9992694587668078
Crowding,10,10,4.550102871891016e-05,0.0038474228149138106,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.006947812735742981,0.00018565637136143946,0.0,0.024276663992302158,0.9982908161045387
PQ,10,10,4.550102871891016e-05,0.0038474228149138106,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.006947812735742981,0.00018565637136143946,0.0,0.024276663992302158,0.9982908161045387
R2,10,10,8.506714064839728e-05,0.0038328760205958213,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.0069469183063981185,0.00033783372493638984,0.0,0.054092481633612396,0.994516359313588
Eps1,10,10,0.0003272750163952353,0.0037951118391560744,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.007053981170328864,0.002607770224538175,0.0,0.011049423150558752,0.984717686975609
Tight1,10,10,0.0003272750163952353,0.0037951118391560744,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.007053981170328864,0.002607770224538175,0.0,0.011049423150558752,0.984717686975609
Grid,10,10,0.0005388600090088993,0.003712102284326108,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.007124619417935904,0.005959265165995057,0.0,0.01318224932921334,0.9631791973886418
Entropy,10,10,0.002188859313964567,0.0034436523593501965,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.007836260013365914,0.01571078998307788,0.0,0.027984206883460056,0.8935244940769631
K-means,10,10,0.0028253051292775598,0.0036678329036051458,0.0,0.011127208093400372,-0.9586009019074553,-0.7836436366442298,0.5329446064139942,0.8086531985913018,0.021074081868300447,0.04139909809254472,0.0,0.042532076826018284,0.9516926209621925
