Model,File,dup_groups,dup_rows
knn,knn_converted_seed_16.csv,2034,46973
knn,knn_converted_seed_17.csv,2055,47093
knn,knn_converted_seed_18.csv,1320,48114
knn,knn_converted_seed_19.csv,2262,46539
knn,knn_converted_seed_2.csv,2232,46768
knn,knn_converted_seed_20.csv,1613,47866
knn,knn_converted_seed_21.csv,2316,46637
knn,knn_converted_seed_22.csv,1838,47521
knn,knn_converted_seed_23.csv,2024,47100
knn,knn_converted_seed_24.csv,2449,46561
knn,knn_converted_seed_25.csv,1503,47968
knn,knn_converted_seed_26.csv,1191,48399
knn,knn_converted_seed_27.csv,1976,47244
knn,knn_converted_seed_28.csv,1490,47970
knn,knn_converted_seed_29.csv,1817,47394
knn,knn_converted_seed_3.csv,2857,45934
knn,knn_converted_seed_30.csv,1762,47521
knn,knn_converted_seed_4.csv,2571,46412
knn,knn_converted_seed_5.csv,2097,47136
knn,knn_converted_seed_6.csv,2832,45796
knn,knn_converted_seed_7.csv,2674,46094
knn,knn_converted_seed_8.csv,1401,48088
knn,knn_converted_seed_9.csv,862,48790
rf,rf_converted_seed_1.csv,2233,46785
rf,rf_converted_seed_10.csv,2917,45884
rf,rf_converted_seed_11.csv,2786,46148
rf,rf_converted_seed_12.csv,3292,45362
rf,rf_converted_seed_13.csv,3257,45550
rf,rf_converted_seed_14.csv,2222,46876
rf,rf_converted_seed_15.csv,2345,46557
rf,rf_converted_seed_16.csv,2098,47055
rf,rf_converted_seed_17.csv,1919,47328
rf,rf_converted_seed_18.csv,2237,46849
rf,rf_converted_seed_19.csv,2069,47059
rf,rf_converted_seed_2.csv,2385,46648
rf,rf_converted_seed_20.csv,3160,45461
rf,rf_converted_seed_21.csv,2291,46803
rf,rf_converted_seed_22.csv,2658,46220
rf,rf_converted_seed_23.csv,2560,46419
rf,rf_converted_seed_24.csv,2343,46739
rf,rf_converted_seed_25.csv,3081,45515
rf,rf_converted_seed_26.csv,2109,46981
rf,rf_converted_seed_27.csv,2210,46978
rf,rf_converted_seed_28.csv,2880,45931
rf,rf_converted_seed_29.csv,2494,46527
rf,rf_converted_seed_3.csv,3469,44773
rf,rf_converted_seed_30.csv,1997,47105
rf,rf_converted_seed_4.csv,2164,47011
rf,rf_converted_seed_5.csv,2442,46622
rf,rf_converted_seed_6.csv,2489,46507
