model,file,rows_before,rows_after,removed,dup_groups,dup_rows,msg
gpr,gpr_converted_seed_1.csv,50000,2373,47627,1761,47627,
gpr,gpr_converted_seed_10.csv,50000,2266,47734,1736,47734,
gpr,gpr_converted_seed_11.csv,50000,2222,47778,1662,47778,
gpr,gpr_converted_seed_12.csv,50000,2080,47920,1608,47920,
gpr,gpr_converted_seed_13.csv,50000,2340,47660,1782,47660,
gpr,gpr_converted_seed_14.csv,50000,2464,47536,1908,47536,
gpr,gpr_converted_seed_15.csv,50000,2154,47846,1627,47846,
gpr,gpr_converted_seed_16.csv,50000,2075,47925,1573,47925,
gpr,gpr_converted_seed_17.csv,50000,1780,48220,1354,48220,
gpr,gpr_converted_seed_18.csv,50000,2140,47860,1631,47860,
gpr,gpr_converted_seed_19.csv,50000,2478,47522,1895,47522,
gpr,gpr_converted_seed_2.csv,50000,2623,47377,2056,47377,
gpr,gpr_converted_seed_20.csv,50000,2170,47830,1583,47830,
gpr,gpr_converted_seed_21.csv,50000,2714,47286,2049,47286,
gpr,gpr_converted_seed_22.csv,50000,1976,48024,1542,48024,
gpr,gpr_converted_seed_23.csv,50000,2223,47777,1769,47777,
gpr,gpr_converted_seed_24.csv,50000,2468,47532,1898,47532,
gpr,gpr_converted_seed_25.csv,50000,2214,47786,1662,47786,
gpr,gpr_converted_seed_26.csv,50000,2390,47610,1782,47610,
gpr,gpr_converted_seed_27.csv,50000,1950,48050,1516,48050,
gpr,gpr_converted_seed_28.csv,50000,2585,47415,1954,47415,
gpr,gpr_converted_seed_29.csv,50000,1823,48177,1424,48177,
gpr,gpr_converted_seed_3.csv,50000,4372,45628,3308,45628,
gpr,gpr_converted_seed_30.csv,50000,2383,47617,1821,47617,
gpr,gpr_converted_seed_4.csv,50000,2255,47745,1692,47745,
gpr,gpr_converted_seed_5.csv,50000,2054,47946,1567,47946,
gpr,gpr_converted_seed_6.csv,50000,2849,47151,2157,47151,
gpr,gpr_converted_seed_7.csv,50000,2320,47680,1765,47680,
gpr,gpr_converted_seed_8.csv,50000,2174,47826,1701,47826,
gpr,gpr_converted_seed_9.csv,50000,2297,47703,1773,47703,
knn,knn_converted_seed_1.csv,50000,2257,47743,1639,47743,
knn,knn_converted_seed_10.csv,50000,1748,48252,1238,48252,
knn,knn_converted_seed_11.csv,50000,2584,47416,1878,47416,
knn,knn_converted_seed_12.csv,50000,1579,48421,1160,48421,
knn,knn_converted_seed_13.csv,50000,2570,47430,1845,47430,
knn,knn_converted_seed_14.csv,50000,2288,47712,1672,47712,
knn,knn_converted_seed_15.csv,50000,3870,46130,2765,46130,
knn,knn_converted_seed_16.csv,50000,3027,46973,2034,46973,
knn,knn_converted_seed_17.csv,50000,2907,47093,2055,47093,
knn,knn_converted_seed_18.csv,50000,1886,48114,1320,48114,
knn,knn_converted_seed_19.csv,50000,3461,46539,2262,46539,
knn,knn_converted_seed_2.csv,50000,3232,46768,2232,46768,
knn,knn_converted_seed_20.csv,50000,2134,47866,1613,47866,
knn,knn_converted_seed_21.csv,50000,3363,46637,2316,46637,
knn,knn_converted_seed_22.csv,50000,2479,47521,1838,47521,
knn,knn_converted_seed_23.csv,50000,2900,47100,2024,47100,
knn,knn_converted_seed_24.csv,50000,3439,46561,2449,46561,
knn,knn_converted_seed_25.csv,50000,2032,47968,1503,47968,
knn,knn_converted_seed_26.csv,50000,1601,48399,1191,48399,
knn,knn_converted_seed_27.csv,50000,2756,47244,1976,47244,
knn,knn_converted_seed_28.csv,50000,2030,47970,1490,47970,
knn,knn_converted_seed_29.csv,50000,2606,47394,1817,47394,
knn,knn_converted_seed_3.csv,50000,4066,45934,2857,45934,
knn,knn_converted_seed_30.csv,50000,2479,47521,1762,47521,
knn,knn_converted_seed_4.csv,50000,3588,46412,2571,46412,
knn,knn_converted_seed_5.csv,50000,2864,47136,2097,47136,
knn,knn_converted_seed_6.csv,50000,4204,45796,2832,45796,
knn,knn_converted_seed_7.csv,50000,3906,46094,2674,46094,
knn,knn_converted_seed_8.csv,50000,1912,48088,1401,48088,
